seed,query_id,variant,runtime_ms,mean_relevance,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_k,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,coverage,novelty
43,q2_photocatalysis,LEA + GraphSAGE,118.23645900000024,0.8581526875495911,0.8617095351219177,0.0,0.0602579228579998,6.444352274037612e-10,0.9965680263300072,1.0,1.0,0.7581590414047241,0.0,0.8500000238418579,1.0,0.06739216297864914
43,q2_photocatalysis,GAT-only,0.022042000000332962,0.8522798418998718,0.8535403609275818,0.0,0.011910664848983288,5.820363080388802e-10,0.986378778381609,1.0,1.0,0.684748649597168,0.0,0.8500000238418579,1.0,0.013852423056960106
43,q2_photocatalysis,LEA + GAT,89.85412499999956,0.8550230264663696,0.8600839972496033,0.0,0.0730547085404396,6.208032421461951e-10,0.9925785300354725,1.0,0.9974493980407715,0.7324286103248596,0.0,0.8500000238418579,1.0,0.046285588294267654
43,q3_lightweight_storage,SemanticOnly,8.299999976202344e-05,0.6645897626876831,0.6676316261291504,0.0,0.013059747405350208,8.110560706798018e-19,0.9813410317954927,1.0,0.0,0.9541835784912109,0.0,0.8500000238418579,1.0,0.0489165298640728
43,q3_lightweight_storage,WeightedSum,0.00012499999968440534,0.6728970408439636,0.673728346824646,0.0,0.0023870705626904964,8.296381661529227e-19,1.0,1.0,0.0,0.9760449528694153,0.0,0.8500000238418579,1.0,0.056563057005405426
43,q3_lightweight_storage,LEA,116.06712499999983,0.6646326780319214,0.673728346824646,0.0,0.6125403642654419,2.761671447082392e-10,0.9870393049004861,1.0,0.39837735891342163,0.9018784761428833,0.0,0.8500000238418579,1.0,0.4135921597480774
43,q3_lightweight_storage,GraphSAGE-only,0.1344999999997043,0.6674221754074097,0.673728346824646,0.0,0.015080046840012074,8.173917571840751e-19,0.9907759876728267,1.0,0.0,0.9616373181343079,0.0,0.8500000238418579,1.0,0.05095868557691574
43,q3_lightweight_storage,LEA + GraphSAGE,146.29887500000027,0.6618666648864746,0.6664682030677795,0.0,0.603182852268219,4.1344808132670607e-10,0.9808026250367841,1.0,0.5929555296897888,0.8689970970153809,0.0,0.8500000238418579,1.0,0.5890275239944458
43,q3_lightweight_storage,GAT-only,0.025583000000217737,0.6686331033706665,0.673728346824646,0.0,0.009156083688139915,8.201002050035152e-19,0.9931561495518243,1.0,0.0,0.9648239016532898,0.0,0.8500000238418579,1.0,0.05134965106844902
43,q3_lightweight_storage,LEA + GAT,81.44858299999936,0.6651404500007629,0.673728346824646,0.0,0.6129932403564453,2.761671447082392e-10,0.9886317827116072,1.0,0.39837735891342163,0.9032145738601685,0.0,0.8500000238418579,1.0,0.413963258266449
43,q4_balanced_discovery,SemanticOnly,0.00016700000049496566,0.5711639523506165,0.5735496282577515,0.0,0.019355762749910355,1.473303562482542e-10,0.951039514791627,0.25,1.0,0.6933193206787109,0.0,0.8500000238418579,1.0,0.011424487456679344
43,q4_balanced_discovery,WeightedSum,0.00012499999968440534,0.593343198299408,0.5966005325317383,0.0,0.0201918575912714,1.711664976422611e-10,1.0,0.25,0.9929555654525757,0.8112602233886719,0.0,0.8500000238418579,1.0,0.11132273823022842
43,q4_balanced_discovery,LEA,160.63187499999998,0.593343198299408,0.5966005325317383,0.0,0.0201918575912714,1.711664976422611e-10,1.0,0.25,0.9929555654525757,0.8112602233886719,0.0,0.8500000238418579,1.0,0.11132273823022842
43,q4_balanced_discovery,GraphSAGE-only,0.022582999999798403,0.5695337057113647,0.5792001485824585,0.0,0.028147589415311813,1.4559825567417306e-10,0.9534264796676976,0.25,1.0,0.6851682662963867,0.0,0.8500000238418579,1.0,0.028461283072829247
43,q4_balanced_discovery,LEA + GraphSAGE,109.6282500000001,0.5889295339584351,0.5930240154266357,0.0,0.036956172436475754,1.66308120053138e-10,0.9905579022900515,0.25,0.9974493980407715,0.7846983075141907,0.0,0.8500000238418579,1.0,0.08464831113815308
43,q4_balanced_discovery,GAT-only,0.021000000000270802,0.569449782371521,0.5726009607315063,0.0,0.011910664848983288,1.4550907700972004e-10,0.9493444694146347,0.25,1.0,0.684748649597168,0.0,0.8500000238418579,1.0,0.01616493985056877
43,q4_balanced_discovery,LEA + GAT,81.05458300000024,0.5873621702194214,0.5966005325317383,0.0,0.060691941529512405,1.647018216255347e-10,0.9890903262856121,0.25,0.9958267211914062,0.7784837484359741,0.0,0.8500000238418579,1.0,0.07888498902320862
43,q5_insulating_frameworks,SemanticOnly,0.00016599999952404687,0.8573349118232727,0.8610939979553223,0.0,0.048921216279268265,5.57218271524107e-10,0.9597180415941692,1.0,0.9836118817329407,0.6668614745140076,0.0,0.8500000238418579,1.0,0.050742458552122116
43,q5_insulating_frameworks,WeightedSum,8.299999976202344e-05,0.8807624578475952,0.8877611756324768,0.0,0.03194258362054825,6.288553011657427e-10,1.0,1.0,1.0,0.7398297190666199,0.0,0.8500000238418579,1.0,0.09199531376361847
43,q5_insulating_frameworks,LEA,120.07704200000013,0.8786234855651855,0.8877611756324768,0.0,0.15009835362434387,6.118722195580517e-10,0.997573866770363,1.0,0.98603755235672,0.7768483757972717,0.0,0.800000011920929,1.0,0.15423955023288727
43,q5_insulating_frameworks,GraphSAGE-only,0.021582999999658625,0.8676360249519348,0.8875277042388916,0.0,0.08754713833332062,5.819306703180871e-10,0.970918199221518,1.0,0.9968555569648743,0.6865954399108887,0.0,0.8500000238418579,1.0,0.0754261165857315
43,q5_insulating_frameworks,LEA + GraphSAGE,136.27066699999978,0.8788604736328125,0.8877611756324768,0.0,0.12197156250476837,5.986635631671788e-10,0.9975433045264436,1.0,1.0,0.7493659853935242,0.0,0.800000011920929,1.0,0.12593860924243927
43,q5_insulating_frameworks,GAT-only,0.021124999999955207,0.8564527630805969,0.8637645840644836,0.0,0.05782619118690491,5.491470611573845e-10,0.9606221287980039,1.0,0.9875640869140625,0.6547679305076599,0.0,0.8500000238418579,1.0,0.054529715329408646
43,q5_insulating_frameworks,LEA + GAT,86.04154199999937,0.8786234855651855,0.8877611756324768,0.0,0.15009835362434387,6.118722195580517e-10,0.9977984192764706,1.0,0.98603755235672,0.776848316192627,0.0,0.800000011920929,1.0,0.15423956513404846
44,q1_co2_adsorption,SemanticOnly,8.299999976202344e-05,0.46286487579345703,0.4651694893836975,0.0,0.06416328996419907,2.2449508918498395e-10,0.9719886587943841,0.44999998807907104,0.9813195466995239,0.5990620851516724,0.0,0.8500000238418579,1.0,0.04128754884004593
44,q1_co2_adsorption,WeightedSum,0.00012499999968440534,0.47267183661460876,0.4744685888290405,0.0,0.008607196621596813,2.5033813910724234e-10,1.0,0.44999998807907104,1.0,0.6544787883758545,0.0,0.8500000238418579,1.0,0.06010851263999939
44,q1_co2_adsorption,LEA,139.49979199999962,0.47134822607040405,0.47310811281204224,0.0,0.0692669078707695,2.4496352168945634e-10,0.9964492822485203,0.44999998807907104,0.9708409309387207,0.6612063646316528,0.0,0.8500000238418579,1.0,0.07747171074151993
44,q1_co2_adsorption,GraphSAGE-only,0.02120899999979997,0.4630468785762787,0.4698196053504944,0.0,0.09801392257213593,2.233823820363412e-10,0.9783004073833584,0.44999998807907104,0.9560602307319641,0.6137470006942749,0.0,0.8500000238418579,1.0,0.05560676008462906
44,q1_co2_adsorption,LEA + GraphSAGE,113.85595800000026,0.47169002890586853,0.47310811281204224,0.0,0.06628330051898956,2.4583993174509544e-10,0.9973930047750312,0.44999998807907104,0.9709603190422058,0.6634212732315063,0.0,0.8500000238418579,1.0,0.07956373691558838
44,q1_co2_adsorption,GAT-only,0.020000000000131024,0.4650551378726959,0.4744685888290405,0.0,0.05619654804468155,2.3077854904851591e-10,0.9851995030545735,0.44999998807907104,0.9944792985916138,0.606645405292511,0.0,0.8500000238418579,1.0,0.03629155829548836
44,q1_co2_adsorption,LEA + GAT,80.35458300000009,0.4711328446865082,0.4720311462879181,0.0,0.067384272813797,2.4441426660359866e-10,0.9955439425920636,0.44999998807907104,0.9708409309387207,0.6597703695297241,0.0,0.8500000238418579,1.0,0.07611678540706635
44,q2_photocatalysis,SemanticOnly,8.299999976202344e-05,0.8529559373855591,0.8539198040962219,0.0,0.01959465816617012,5.892198950974148e-10,0.9869173962128599,1.0,1.0,0.6931999325752258,0.0,0.8500000238418579,1.0,0.011293628253042698
