seed,query_id,variant,runtime_ms
45,q3_lightweight_storage,LEA no self-cleaning,84.65279099999634
45,q3_lightweight_storage,LEA pop20,55.90029100000038
45,q3_lightweight_storage,LEA pop50,138.93337500000058
45,q3_lightweight_storage,LEA pop100,282.5279589999994
45,q3_lightweight_storage,LEA iter20,28.331082999997648
45,q3_lightweight_storage,LEA iter40,57.23070900000238
45,q3_lightweight_storage,LEA iter100,142.40445799999435
45,q3_lightweight_storage,LEA pool50,125.36229100000185
45,q3_lightweight_storage,LEA pool200,149.33554099999924
45,q4_balanced_discovery,SemanticOnly,0.040708000000222455
45,q4_balanced_discovery,WeightedSum,0.08466599999934488
45,q4_balanced_discovery,MMR,1.8147079999977223
45,q4_balanced_discovery,RandomRepeated,0.0624580000021524
45,q4_balanced_discovery,LEA baseline,121.97045799999984
45,q4_balanced_discovery,LEA no diversity,131.8501249999997
45,q4_balanced_discovery,LEA no balance,84.14841700000153
45,q4_balanced_discovery,LEA no self-cleaning,84.48029200000207
45,q4_balanced_discovery,LEA pop20,56.241249999999354
45,q4_balanced_discovery,LEA pop50,139.95212500000065
45,q4_balanced_discovery,LEA pop100,285.16595800000033
45,q4_balanced_discovery,LEA iter20,29.256457999998986
45,q4_balanced_discovery,LEA iter40,58.24083299999927
45,q4_balanced_discovery,LEA iter100,146.25491700000026
45,q4_balanced_discovery,LEA pool50,144.24608400000238
45,q4_balanced_discovery,LEA pool200,161.4555419999988
45,q5_insulating_frameworks,SemanticOnly,0.06925000000279624
45,q5_insulating_frameworks,WeightedSum,0.0979590000014241
45,q5_insulating_frameworks,MMR,2.273124999994991
45,q5_insulating_frameworks,RandomRepeated,0.07775000000265209
45,q5_insulating_frameworks,LEA baseline,116.25691700000118
45,q5_insulating_frameworks,LEA no diversity,130.46129099999604
45,q5_insulating_frameworks,LEA no balance,86.40962500000171
45,q5_insulating_frameworks,LEA no self-cleaning,84.57633300000111
45,q5_insulating_frameworks,LEA pop20,56.35145800000174
45,q5_insulating_frameworks,LEA pop50,140.82062499999637
45,q5_insulating_frameworks,LEA pop100,288.7443750000003
45,q5_insulating_frameworks,LEA iter20,29.408249999995917
45,q5_insulating_frameworks,LEA iter40,57.86899999999662
45,q5_insulating_frameworks,LEA iter100,143.65120800000142
45,q5_insulating_frameworks,LEA pool50,148.88641699999994
45,q5_insulating_frameworks,LEA pool200,193.69412500000038
46,q1_co2_adsorption,SemanticOnly,0.19920799999795236
46,q1_co2_adsorption,WeightedSum,0.133375000004321
46,q1_co2_adsorption,MMR,1.7969170000000645
46,q1_co2_adsorption,RandomRepeated,0.060333000000412085
46,q1_co2_adsorption,LEA baseline,130.58224999999624
46,q1_co2_adsorption,LEA no diversity,129.13066600000178
46,q1_co2_adsorption,LEA no balance,84.1764999999981
46,q1_co2_adsorption,LEA no self-cleaning,84.00987499999957
46,q1_co2_adsorption,LEA pop20,56.30620899999883
46,q1_co2_adsorption,LEA pop50,139.44012500000014
46,q1_co2_adsorption,LEA pop100,279.9997910000016
46,q1_co2_adsorption,LEA iter20,29.771042000000136
46,q1_co2_adsorption,LEA iter40,59.96925000000175
46,q1_co2_adsorption,LEA iter100,151.35041599999965
46,q1_co2_adsorption,LEA pool50,111.88049999999805
46,q1_co2_adsorption,LEA pool200,255.18520800000033
46,q2_photocatalysis,SemanticOnly,0.07700000000454565
46,q2_photocatalysis,WeightedSum,0.2127089999959253
46,q2_photocatalysis,MMR,4.223041999999566
46,q2_photocatalysis,RandomRepeated,0.06454200000405308
46,q2_photocatalysis,LEA baseline,117.1762079999965
46,q2_photocatalysis,LEA no diversity,151.18975000000034
46,q2_photocatalysis,LEA no balance,85.25320799999747
46,q2_photocatalysis,LEA no self-cleaning,85.22854199999585
46,q2_photocatalysis,LEA pop20,56.99391599999615
46,q2_photocatalysis,LEA pop50,142.25254100000484
46,q2_photocatalysis,LEA pop100,291.6665420000015
46,q2_photocatalysis,LEA iter20,28.832791999995777
46,q2_photocatalysis,LEA iter40,56.789709000000244
46,q2_photocatalysis,LEA iter100,143.88904100000133
46,q2_photocatalysis,LEA pool50,99.66358300000167
46,q2_photocatalysis,LEA pool200,170.37350000000373
46,q3_lightweight_storage,SemanticOnly,0.07258300000501094
46,q3_lightweight_storage,WeightedSum,0.08891600000282551
46,q3_lightweight_storage,MMR,3.2139169999965134
46,q3_lightweight_storage,RandomRepeated,0.06679099999473692
