query_id,query,method,runtime_ms,mean_relevance,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_k,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,TOPSIS,0.2342500000001024,0.593343198299408,0.5966005325317383,0.0,0.0201918575912714,1.7116649764226108e-10,1.0,0.25,0.9929555654525756,0.8112602233886719,0.0,0.8500000238418579
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,ParetoCrowding,43.65729200000001,0.593343198299408,0.5966005325317383,0.0,0.0201918575912714,1.7116651152004891e-10,0.9999037764568212,0.25,0.9929555654525756,0.8112602233886719,0.0,0.8500000238418579
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,Random,0.0568750000002893,0.5711880922317505,0.5779377818107605,0.0,0.0281984452158212,1.47355933011184e-10,0.953867395382529,0.25,1.0,0.6934397220611572,0.0,0.8500000238418579
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,LEA,125.1953330000002,0.593343198299408,0.5966005325317383,0.0,0.0201918575912714,1.7116649764226108e-10,1.0,0.25,0.9929555654525756,0.8112602233886719,0.0,0.8500000238418579
q5_insulating_frameworks,wide band gap insulating MOFs with low density,SemanticOnly,0.0610829999998507,0.8573349118232727,0.8610939979553223,0.0,0.0489212162792682,5.57218271524107e-10,0.9597180415941692,1.0,0.9836118817329408,0.6668614745140076,0.0,0.8500000238418579
q5_insulating_frameworks,wide band gap insulating MOFs with low density,WeightedSum,0.1009999999999067,0.8807624578475952,0.8877611756324768,0.0,0.0319425836205482,6.288553011657426e-10,1.0,1.0,1.0,0.7398297190666199,0.0,0.8500000238418579
q5_insulating_frameworks,wide band gap insulating MOFs with low density,TOPSIS,0.1065829999999934,0.8805249333381653,0.8877611756324768,0.0,0.0734315440058708,6.420614595548101e-10,0.9963523247321576,1.0,0.98603755235672,0.7673091888427734,0.0,0.8500000238418579
q5_insulating_frameworks,wide band gap insulating MOFs with low density,ParetoCrowding,26.085666000000177,0.8786234855651855,0.8877611756324768,0.0,0.1500983536243438,6.118722195580516e-10,0.9969404675057773,1.0,0.98603755235672,0.776848316192627,0.0,0.800000011920929
q5_insulating_frameworks,wide band gap insulating MOFs with low density,Random,0.0687080000001394,0.8591333627700806,0.8759486079216003,0.0,0.1357708573341369,5.254318646841226e-10,0.9632372689287244,1.0,1.0,0.6596967577934265,0.0,0.800000011920929
q5_insulating_frameworks,wide band gap insulating MOFs with low density,LEA,127.49762500000016,0.878500759601593,0.8877611756324768,0.0,0.1509557962417602,6.113978767707805e-10,0.99766318628452,1.0,0.98603755235672,0.7762902975082397,0.0,0.800000011920929
