query,seed,method,rank,qmof_id,formula,raw_density,raw_band_gap,raw_semantic_score,raw_stability_score,raw_graph_score,normalized_density_score,normalized_band_gap_score,normalized_semantic_score,normalized_stability_score,normalized_graph_score,availability_mask,active_objective_vector,pairwise_masked_distance,final_utility
stable porous MOFs for CO2 adsorption,42,MMR,1,qmof-82fb334,Co2C22H16N4O10,1.772529929,2.753622,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,MMR,2,qmof-6ad2d37,Co2C38H44N4O8,1.496281682,4.095506,0.7166666666666667,0.7,,0.7,0.5,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|0.5|0.7|0.7,,0.6672850245975401
stable porous MOFs for CO2 adsorption,42,MMR,3,qmof-51d789e,Co2C16H24O12,1.634350468,3.034007,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,MMR,4,qmof-275dcce,Co2Nd2C32H32N20O12,1.787505544,2.684298,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,MMR,5,qmof-99810c8,Co2C46H34N4O14,1.652544913,2.887718,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,ParetoCrowding,1,qmof-fd921b0,Co2C16H16N8O8,1.58214776,3.390441,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,ParetoCrowding,2,qmof-f69d443,Co2C40H28N12O8,1.370451155,2.877886,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,ParetoCrowding,3,qmof-f343390,Co2C34H22N6O8,1.790740334,3.060735,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,ParetoCrowding,4,qmof-f2d872e,Co2C36H40N8O12,1.334171796,3.378082,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,ParetoCrowding,5,qmof-f0c9af4,Co2C50H38N10O12,1.607919854,2.642464,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,Random,1,qmof-4324443,Co2C30H22N4O10,1.798488446,3.439369,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,Random,2,qmof-5533340,Co2C38H20N8O14,1.720487217,2.218596,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,Random,3,qmof-3c5b84b,Co2C52Cl4H40N8O8,1.606651944,3.583374,0.7166666666666667,0.7,,0.7,0.5,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|0.5|0.7|0.7,,0.6672850245975401
stable porous MOFs for CO2 adsorption,42,Random,4,qmof-79ff2bd,Co2C40H28N2O14,1.727911851,3.222612,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,Random,5,qmof-b0a3596,Co2C36H26N4O12,1.704727415,3.49187,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,SemanticOnly,1,qmof-fe6f735,Co2C58H64N8O12,1.418878739,4.292873,0.7166666666666667,0.7,,0.7,0.5,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|0.5|0.7|0.7,,0.6672850245975401
stable porous MOFs for CO2 adsorption,42,SemanticOnly,2,qmof-fd921b0,Co2C16H16N8O8,1.58214776,3.390441,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,SemanticOnly,3,qmof-f69d443,Co2C40H28N12O8,1.370451155,2.877886,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,SemanticOnly,4,qmof-f47b0d0,Co2C20H16N20,1.747002045,4.598984,0.7166666666666667,0.7,,0.7,0.5,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|0.5|0.7|0.7,,0.6672850245975401
stable porous MOFs for CO2 adsorption,42,SemanticOnly,5,qmof-f343390,Co2C34H22N6O8,1.790740334,3.060735,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,TOPSIS,1,qmof-fd921b0,Co2C16H16N8O8,1.58214776,3.390441,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,TOPSIS,2,qmof-f69d443,Co2C40H28N12O8,1.370451155,2.877886,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,TOPSIS,3,qmof-f343390,Co2C34H22N6O8,1.790740334,3.060735,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,TOPSIS,4,qmof-f2d872e,Co2C36H40N8O12,1.334171796,3.378082,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,TOPSIS,5,qmof-f0c9af4,Co2C50H38N10O12,1.607919854,2.642464,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
