query_id,variant,mean_rel_at5,sd_rel_at5,mean_ndcg_at5,sd_ndcg_at5,mean_diversity,sd_diversity,mean_runtime_ms,n
q2_photocatalysis,SemanticOnly,0.8529559373855591,0.0,0.9869173962128601,0.0,0.0195946581661701,0.0,0.11057080000322901,10
q2_photocatalysis,WeightedSum,0.8607824444770813,0.0,1.0,0.0,0.0211358331143856,0.0,0.14539160000026635,10
q3_lightweight_storage,LEA baseline,0.6657083868980408,0.0015740007267673985,0.9861220159646511,0.003849007126931254,0.5686559200286865,0.08445598141208988,128.704424900001,10
q3_lightweight_storage,LEA no diversity,0.6728970408439636,0.0,1.0,0.0,0.0023870705626904,0.0,127.39958729999917,10
q3_lightweight_storage,LEA no self-cleaning,0.6657329261302948,0.0019620625143972397,0.9867505114799261,0.005134649404763411,0.5791286081075668,0.057233324744218765,84.27113749999906,10
q3_lightweight_storage,LEA pool200,0.6633769452571869,0.00269614636677544,0.9800068095857508,0.005175631175215197,0.594438123703003,0.02013219814904793,138.7061458000008,10
q3_lightweight_storage,LEA pool50,0.6682012915611267,0.001282518249012932,0.9897921135695293,0.0017163600063825372,0.6048740148544312,0.0023698328818038406,125.29035820000222,10
q3_lightweight_storage,MMR,0.6694502234458923,0.0,0.9938916097863565,0.0,0.5381185412406921,0.0,2.5349750999980714,10
q3_lightweight_storage,RandomRepeated,0.6642014503479003,0.0021865008856554757,0.9836876957587298,0.0038397217449059862,0.14868682064115996,0.21215875832882453,0.09086239999787078,10
q3_lightweight_storage,SemanticOnly,0.6645897626876831,0.0,0.9813410317954927,0.0,0.0130597474053502,0.0,0.09395830000009649,10
q3_lightweight_storage,WeightedSum,0.6728970408439636,0.0,1.0,0.0,0.0023870705626904,0.0,0.13117930000046124,10
q4_balanced_discovery,LEA baseline,0.5933270514011383,2.5998976234218604e-05,0.9999782816200454,3.496991402644841e-05,0.020341708138585067,0.00024128230408278548,123.8613667000008,10
q4_balanced_discovery,LEA no diversity,0.593343198299408,0.0,1.0,0.0,0.0201918575912714,0.0,122.2858333000029,10
q4_balanced_discovery,LEA no self-cleaning,0.593290513753891,0.000130709775601019,0.9999291957480192,0.00017562707896914682,0.02068783380091188,0.0012349848231379382,84.3633292999992,10
q4_balanced_discovery,LEA pool200,0.5933270514011383,2.5998976234218604e-05,0.9999753085025247,4.05721985129477e-05,0.020341708138585067,0.00024128230408278548,143.20419169999977,10
q4_balanced_discovery,LEA pool50,0.5932743668556213,0.00012597843284958151,0.999901531133023,0.00016752135984473817,0.020837684348225548,0.0011909004923174346,127.41417080000001,10
q4_balanced_discovery,MMR,0.5807684063911438,0.0,0.9768420541694208,0.0,0.1115369796752929,0.0,2.209487499999341,10
q4_balanced_discovery,RandomRepeated,0.5731333076953888,0.0027485443534396668,0.9576876154479711,0.0054047032461217925,0.041216753330081665,0.01586605529054658,0.07345829999847449,10
q4_balanced_discovery,SemanticOnly,0.5711639523506165,0.0,0.9510395147916271,0.0,0.0193557627499103,0.0,0.08149169999951404,10
q4_balanced_discovery,WeightedSum,0.593343198299408,0.0,1.0,0.0,0.0201918575912714,0.0,0.12599179999766003,10
q5_insulating_frameworks,LEA baseline,0.8788013458251953,0.0006067920427531215,0.9977010996544383,0.0007581298838505021,0.14251741617918007,0.02427579938463415,122.22339170000024,10
q5_insulating_frameworks,LEA no diversity,0.8807624578475952,0.0,1.0,0.0,0.0319425836205482,0.0,122.9046497999974,10
q5_insulating_frameworks,LEA no self-cleaning,0.878776878118515,0.0006120168910905418,0.9976536753894637,0.0007610117034494701,0.14269094914197916,0.02429647831214686,84.71925410000249,10
q5_insulating_frameworks,LEA pool200,0.8785282135009765,0.00026532295881715536,0.997182827640928,0.0002792005535577742,0.15077162086963647,0.0018777174419733111,143.65481259999999,10
q5_insulating_frameworks,LEA pool50,0.8788013458251953,0.0006067920427531067,0.9976719545256165,0.0007690876363216014,0.14251741617918007,0.024275799384634155,125.56495820000073,10
