seed,query_id,query,method,candidate_pool_size,runtime_ms,rel_at_5,best_relevance,balance,diversity,unique_at_5,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,missing_band_gap_top5,catalog_coverage,top_k_stability_vs_pool100,retrieval_time_ms,reranking_time_ms,total_runtime_ms
46,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,76.72687500001985,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425126,1.0,0.013125195696165555,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,76.72687500001985,76.72687500001985
46,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,83.84204099999693,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425126,1.0,0.013125195696165555,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,83.84204099999693,83.84204099999693
46,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,98.23254100001577,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425126,1.0,0.013125195696165555,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,98.23254100001577,98.23254100001577
47,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,80.99295799999595,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,80.99295799999595,80.99295799999595
47,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,85.40270799997529,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,85.40270799997529,85.40270799997529
47,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,100.17287499999838,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,100.17287499999838,100.17287499999838
48,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,75.04666699998097,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,75.04666699998097,75.04666699998097
48,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,83.82116700002484,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,83.82116700002484,83.82116700002484
48,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,97.70037499998807,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,97.70037499998807,97.70037499998807
49,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,77.71720799999571,0.8751666666666666,0.8751666666666666,0.8455588029917751,0.014997367011425128,1.0,0.013125195696165557,1.0,0.6433333333333333,1.0,1.0,0.0,1.0,0,0.00024543491066169253,1.0,0.0,77.71720799999571,77.71720799999571
