record_type,seed,query_id,query,method,candidate_pool_size,runtime_ms,rel_at_5,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,coverage,missing_band_gap_top5,unique_top_k_candidates,candidate_coverage,top_k_stability,retrieval_time_ms,reranking_time_ms,total_runtime_ms
candidate_pool_sensitivity,50,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,106.79787499999804,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.0098173964264677,,0.0,106.79787499999804,106.79787499999804
candidate_pool_sensitivity,51,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,83.64154199999874,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.002454349106616925,,0.0,83.64154199999874,83.64154199999874
candidate_pool_sensitivity,51,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,96.74495900000224,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.00490869821323385,,0.0,96.74495900000224,96.74495900000224
candidate_pool_sensitivity,51,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,110.6794579999999,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.0098173964264677,,0.0,110.6794579999999,110.6794579999999
candidate_pool_sensitivity,42,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,88.01120900000114,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,88.01120900000114,88.01120900000114
candidate_pool_sensitivity,42,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,91.8367499999988,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,91.8367499999988,91.8367499999988
candidate_pool_sensitivity,42,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,106.63570800000244,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,106.63570800000244,106.63570800000244
candidate_pool_sensitivity,43,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,85.57249999999783,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,85.57249999999783,85.57249999999783
candidate_pool_sensitivity,43,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,92.16141599999617,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,92.16141599999617,92.16141599999617
candidate_pool_sensitivity,43,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,125.47095799999397,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,125.47095799999397,125.47095799999397
