query_id,query,method,rank,qmof_id,formula,band_gap,density,void_fraction,semantic_score,band_gap_score,density_score,porosity_score,stability_score,lea_score,baseline_score
q3_lightweight_storage,lightweight low density MOFs for gas storage,TOPSIS,5,qmof-cef46c3,Zn2C48H32N8O8,2.913296,0.7895211,,1.0,1.0,0.802619725,0.0,0.85,,0.595857
q3_lightweight_storage,lightweight low density MOFs for gas storage,ParetoCrowding,1,qmof-efd8c2a,Cu12C108H36N24,,0.087070039,,1.0,0.0,0.97823249025,0.0,0.85,,95.006737
q3_lightweight_storage,lightweight low density MOFs for gas storage,ParetoCrowding,2,qmof-cef46c3,Zn2C48H32N8O8,2.913296,0.7895211,,1.0,1.0,0.802619725,0.0,0.85,,95.006569
q3_lightweight_storage,lightweight low density MOFs for gas storage,ParetoCrowding,3,qmof-a2d95c3,Zn8C48H24O26,4.650938,0.57861881,,1.0,0.6711605714285714,0.8553452975,0.0,0.85,,95.006607
q3_lightweight_storage,lightweight low density MOFs for gas storage,ParetoCrowding,4,qmof-b1cbe7a,Fe2C24H16N8,3.528396,0.685538233,,1.0,0.9918868571428572,0.82861544175,0.0,0.85,,95.006668
q3_lightweight_storage,lightweight low density MOFs for gas storage,ParetoCrowding,5,qmof-ca7c71a,Cu12C96H24N36,,0.089655409,,1.0,0.0,0.97758614775,0.0,0.85,,94.006737
q3_lightweight_storage,lightweight low density MOFs for gas storage,Random,1,qmof-6a62f82,Cu12C60H48N28,,0.243140254,,1.0,0.0,0.9392149365,0.0,0.85,,0.995386
q3_lightweight_storage,lightweight low density MOFs for gas storage,Random,2,qmof-4a41a68,Cu12C84H60N24,,0.171176743,,1.0,0.0,0.95720581425,0.0,0.85,,0.983622
q3_lightweight_storage,lightweight low density MOFs for gas storage,Random,3,qmof-f756730,Cu12C87H72N24,,0.206269379,,1.0,0.0,0.94843265525,0.0,0.85,,0.977948
q3_lightweight_storage,lightweight low density MOFs for gas storage,Random,4,qmof-e27ef5d,Cu12C84H36N24,,0.151246293,,1.0,0.0,0.96218842675,0.0,0.85,,0.977154
q3_lightweight_storage,lightweight low density MOFs for gas storage,Random,5,qmof-2efade9,Cu12C108H84N24,,0.103378824,,1.0,0.0,0.974155294,0.0,0.85,,0.969184
q3_lightweight_storage,lightweight low density MOFs for gas storage,LEA,1,qmof-b1cbe7a,Fe2C24H16N8,3.528396,0.685538233,,1.0,0.9918868571428572,0.82861544175,0.0,0.85,0.7467,
q3_lightweight_storage,lightweight low density MOFs for gas storage,LEA,2,qmof-175a5d9,Fe6C42Cl6H12N18O12,3.544636,0.750832979,,1.0,0.9872468571428571,0.81229175525,0.0,0.85,0.7401,
q3_lightweight_storage,lightweight low density MOFs for gas storage,LEA,3,qmof-cef46c3,Zn2C48H32N8O8,2.913296,0.7895211,,1.0,1.0,0.802619725,0.0,0.85,0.7382,
q3_lightweight_storage,lightweight low density MOFs for gas storage,LEA,4,qmof-efd8c2a,Cu12C108H36N24,,0.087070039,,1.0,0.0,0.97823249025,0.0,0.85,0.7221,
q3_lightweight_storage,lightweight low density MOFs for gas storage,LEA,5,qmof-efd24b7,Cu12C96H72N36,,0.108516432,,1.0,0.0,0.972870892,0.0,0.85,0.7207,
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,SemanticOnly,1,qmof-bf460d2,Cu2C40Cl2H32N12,2.524101,1.35714137,,0.25,1.0,0.6607146575,0.0,0.85,,0.25
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,SemanticOnly,2,qmof-700998f,Mg4C52H32N4O20,2.893457,1.215878681,,0.25,1.0,0.69603032975,0.0,0.85,,0.25
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,SemanticOnly,3,qmof-0df7bd9,Cu4C44H36N16,2.630135,1.179009193,,0.25,1.0,0.7052477017500001,0.0,0.85,,0.25
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,SemanticOnly,4,qmof-688ca67,Cu4C36H20N16O4,3.314783,1.185027717,,0.25,1.0,0.70374307075,0.0,0.85,,0.25
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,SemanticOnly,5,qmof-da92f5a,Cu4C44H36N16,2.693294,1.196556606,,0.25,1.0,0.7008608485000001,0.0,0.85,,0.25
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,WeightedSum,1,qmof-b1cbe7a,Fe2C24H16N8,3.528396,0.685538233,,0.25,0.9918868571428572,0.82861544175,0.0,0.85,,0.596601
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,WeightedSum,2,qmof-8deddd1,Zn6C42H18O18,3.550246,0.720023443,,0.25,0.985644,0.81999413925,0.0,0.85,,0.593628
q4_balanced_discovery,balanced stable MOF candidates for general materials discovery,WeightedSum,3,qmof-cef46c3,Zn2C48H32N8O8,2.913296,0.7895211,,0.25,1.0,0.802619725,0.0,0.85,,0.593024
